Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
86,2008-02-07,34.86439895629883,37.32712032041163,34.63905245987241,36.08771131528413,11300078
87,2008-02-08,33.96299743652344,35.379462442837216,33.335243766064984,35.08973165892353,13514197
88,2008-02-11,31.564666748046875,34.44588934996186,31.22664598759559,34.44588934996186,15133331
89,2008-02-12,31.001298904418945,32.723593773150576,30.743759178741186,32.514343974080425,10237627
90,2008-02-13,30.550613403320312,31.95098231591236,29.922861671248835,31.548577079560367,10395753
91,2008-02-14,33.22256851196289,33.560589183354615,31.226637760197317,31.226637760197317,12514003
92,2008-02-15,34.17226028442383,34.445896716448054,32.208521871891165,33.09381338549082,12080990
93,2008-02-18,33.979087829589844,34.94486208790878,33.689357080325074,34.94486208790878,6977153
94,2008-02-19,33.60888671875,34.67123677450253,33.35134698050882,34.5907557427514,7226542
95,2008-02-20,32.771881103515625,33.303057190378766,32.401669253461456,33.28696054837911,5604999
96,2008-02-21,32.99724197387695,33.56060937067662,32.59483669044862,33.303069552644814,3874365
97,2008-02-22,32.57872772216797,32.7879775171433,31.564665481503713,31.902686228391797,2691220
98,2008-02-25,32.85236358642578,33.25476873831487,32.0636499253607,32.965037902229795,6270186
99,2008-02-26,32.98114013671875,33.44792975541424,32.82017804867286,33.158198870206846,7139423
100,2008-02-27,34.91268539428711,36.634978436381864,33.46402659353306,33.46402659353306,43223132
101,2008-02-28,35.89454650878906,36.168182871836585,34.767812139137625,35.25069829755967,35763847
102,2008-02-29,35.37947082519531,36.37743653189836,34.80000912007772,35.669203860941906,16477462
103,2008-03-03,33.89861297607422,35.025349451422706,33.512304512542194,33.834228596016786,10049153
104,2008-03-04,33.02942657470703,34.25273883178418,32.192425060108526,34.123970039749935,11485198
105,2008-03-05,33.64107131958008,33.80203334152664,32.22460421653804,33.19037634821742,8581053
106,2008-03-07,31.918792724609375,33.158201784780864,30.58280596648366,33.158201784780864,14251925
107,2008-03-10,31.8055477142334,32.03203637492322,29.977458002786165,31.96732564247664,11713659
108,2008-03-11,34.42634201049805,34.74989778221973,30.802517806065786,31.546694325623253,19665129
109,2008-03-12,33.55274963378906,35.59115190641452,33.22919378715815,35.364663252623586,12262350
110,2008-03-13,28.942066192626953,33.00269323726099,28.14935509297149,32.679137507258545,47000084
111,2008-03-14,30.931936264038086,31.061357682586248,29.15237969061045,29.750956494211703,35798540
112,2008-03-17,29.718599319458008,30.34953251288891,29.087666126027102,30.34953251288891,19211273
113,2008-03-18,29.977445602416992,30.559846342029463,29.18473232653333,29.670065910501606,12632937
114,2008-03-19,30.155399322509766,33.58508839688221,29.961265026454576,31.38490921668427,16449023
115,2008-03-24,30.44660186767578,31.287847649295717,29.783312177658452,31.287847649295717,11636914
116,2008-03-25,31.595233917236328,31.78936609388201,30.673098946845954,31.239321635339223,13232423
117,2008-03-26,31.401100158691406,32.16145723291146,31.06136610011961,31.384921928425438,11448313
118,2008-03-27,31.967313766479492,32.27469347135162,30.931935849220878,30.931935849220878,17425122
119,2008-03-28,32.03203201293945,32.27470106651228,31.190788217183677,32.11292096604597,11599511
120,2008-03-31,31.8055477142334,32.17763826574501,31.384924661950244,32.03203637492322,9914705
121,2008-04-01,31.870248794555664,32.32322817300098,31.46580409643641,32.032026673803365,6034588
